,Country,Region,Population,Average Government Expenditure as % of GDP,Percentage change in GDP per capita USD,start_year,end_year
6323,Sudan,Africa,28831556.0,14.478179861000001,33.94846144050223,1999,2004
6324,Sweden,Europe,9004263.0,58.40886166666667,16.238532600993437,1999,2004
6325,Switzerland,Europe,7381153.0,37.16647666666666,15.019992997601905,1999,2004
6326,Syria,Asia,18084010.0,29.984990705,-11.417461821752262,1999,2004
6327,Taiwan,Asia,22703098.0,25.04947667861768,17.67979239457187,1999,2004
6328,Tajikistan,Asia,6801206.0,20.153626541666668,41.93935486911102,1999,2004
6329,Tanzania,Africa,38360884.0,18.144085668333332,33.0832257390832,1999,2004
6330,Thailand,Asia,65311164.0,21.547376,22.052546784491934,1999,2004
6331,Togo,Africa,5565213.0,18.271569066666668,-5.173831563981112,1999,2004
6332,Trinidad and Tobago,Americas,1361180.0,31.516878836666667,39.88649506969084,1999,2004
6333,Tunisia,Africa,10292230.0,32.017997423333334,19.288993482759096,1999,2004
6334,Turkey,Asia,67785080.0,57.732978118333335,20.374707868971043,1999,2004
6335,Uganda,Africa,27146082.0,23.535650226666665,15.12140771042574,1999,2004
6336,Ukraine,Europe,47261960.0,38.143037113333335,69.41400703181966,1999,2004
6337,United Arab Emirates,Asia,3993346.0,21.791363806666666,53.22618443621299,1999,2004
6338,United Kingdom,Europe,59995852.0,42.63225166666667,12.715552558783006,1999,2004
6339,United States,Americas,293947872.0,37.931065,8.786982583034654,1999,2004
6340,Uruguay,Americas,3313804.0,36.163180000000004,-10.438770474192506,1999,2004
6341,Uzbekistan,Asia,26234924.0,37.01120956166667,9.44914791037823,1999,2004
6342,Venezuela,Americas,26226930.0,34.26274333333333,0.31867333104891316,1999,2004
6343,Vietnam,Asia,82311232.0,25.609483838333333,30.148082698973,1999,2004
6344,Yemen,Asia,20733406.0,34.006126716666664,7.136308999138152,1999,2004
6345,Zambia,Africa,11188044.0,32.105767558000004,,1999,2004
6346,Afghanistan,Asia,24411196.0,15.643249156666664,,2000,2005
6347,Albania,Europe,3032636.0,34.55267776,42.632765721471834,2000,2005
6348,Algeria,Africa,32956690.0,33.198982261666664,45.87087083681849,2000,2005
6349,Angola,Africa,19450962.0,43.78990294833333,84.18274860175836,2000,2005
6350,Argentina,Americas,39070504.0,39.630896666666665,6.786964551739438,2000,2005
6351,Armenia,Asia,3047254.0,4.210149312666666,55.782722359631755,2000,2005
6352,Australia,Oceania,20171732.0,36.429484905,14.483488218890628,2000,2005
6353,Austria,Europe,8227034.0,54.73992166666667,8.180483085278878,2000,2005
6354,Azerbaijan,Asia,8656243.0,24.288719756666666,79.21295288295511,2000,2005
6355,Bahrain,Asia,901928.0,32.40831749833333,48.22765004459302,2000,2005
6356,Bangladesh,Asia,140912592.0,15.728463361666668,29.643457402674134,2000,2005
6357,Belarus,Europe,9935166.0,41.62473120166667,38.61910236983852,2000,2005
6358,Belgium,Europe,10516979.0,55.61718666666667,7.765809197393714,2000,2005
6359,Benin,Africa,8149420.0,22.492035405,-1.7296174215529203,2000,2005
6360,Bolivia,Americas,9377395.0,34.716008333333335,6.512404202341648,2000,2005
6361,Bosnia and Herzegovina,Europe,4094297.0,50.346704769999995,13.776373598831416,2000,2005
6362,Botswana,Africa,1892819.0,37.515256963333336,21.804003459909094,2000,2005
6363,Brazil,Americas,186797344.0,45.04591833333333,14.961179733436381,2000,2005
6364,Bulgaria,Europe,7815221.0,42.140973333333335,39.79753400243378,2000,2005
6365,Burkina Faso,Africa,13876134.0,22.693730673333334,2.7049933048834296,2000,2005
6366,Burundi,Africa,7388869.0,26.130049226666667,-6.507663489649163,2000,2005
6367,Cabo Verde,Africa,492841.0,38.844718225,,2000,2005
6368,Cambodia,Asia,13246588.0,15.013835951666666,29.27846973378343,2000,2005
6369,Cameroon,Africa,17275174.0,18.40107743,13.350910991802056,2000,2005
6370,Canada,Americas,32215914.0,46.281985,9.589096717222812,2000,2005
6371,Central African Republic,Africa,4208845.0,16.695035411666666,-10.936551571131826,2000,2005
6372,Chad,Africa,10005013.0,18.640650869999998,76.81984624485065,2000,2005
6373,Chile,Americas,16175315.0,24.12742916666667,12.660470220699004,2000,2005
6374,China,Asia,1304887552.0,18.806100666666666,40.086583362832506,2000,2005
6375,Colombia,Americas,42220944.0,30.674953333333335,12.097871761483624,2000,2005
6376,Comoros,Africa,592691.0,21.594540321666667,5.088357934886045,2000,2005
6377,Congo Republic,Africa,3672845.0,30.368829705,15.90404860985204,2000,2005
6378,Costa Rica,Americas,4315894.0,21.610789999999998,10.607636435546075,2000,2005
6379,Cote d'Ivoire,Africa,18970216.0,21.93000529,-1.700652024492444,2000,2005
